"","Year","cluster3","MetrPrice","House_Share","FoodKCaloriesHH_Per","SampleSize","Engle","FPLine","PovertyLine","PovertyHCR","PovertyGap","PovertyDepth"
"17",91,4,29548.7531646047,0.259499316524149,2796.45563092613,4706,0.27579557676417,638876.280938628,2552789.19187426,0.279327549677349,0.188687699395054,0.0758923146006876
"18",91,5,22623.971502331,0.193207507208164,2911.2167937069,2058,0.281640114772377,495488.941104421,1998923.15283181,0.161062911928403,0.137889248735744,0.0504210355806776
"19",91,6,23485.0975798271,0.210400993462707,3212.61315722274,4068,0.310278569560861,573913.082368432,2080526.12062242,0.18482346903148,0.157305953810417,0.0569286084963134
"20",91,7,20390.5603985167,0.200269691981767,2638.37121998441,675,0.380991356478328,495488.941104421,1329625.24752242,0.172719005658513,0.213625979704625,0.0719874996658985
"21",91,8,40701.1114656769,0.300469330712421,2096.59668096696,1043,0.263048916920805,508275.114116348,1879678.51404158,0.163945983187189,0.171601212640742,0.0507758404945616
"22",91,9,11774.6166091593,0.139807333541481,3111.84944002877,1321,0.337429875491149,495488.941104421,1800717.30125731,0.145169179897244,0.145833261098079,0.0708645030605834
"23",91,10,11552.0073291683,0.12268259581143,3062.67636068307,3246,0.359403731216768,534477.34821221,1633340.70723163,0.1776083762835,0.155096424591898,0.057692595922167
"24",91,11,10167.423795401,0.104829915456369,3482.79960648083,5168,0.366941752838376,495488.941104421,1520598.30509632,0.10202061791261,0.145061570882034,0.0592087304568434
"25",91,12,9754.31529489245,0.104343478629992,3506.94519991429,6630,0.382811172188781,495488.941104421,1418212.12293724,0.158047423766786,0.122733456493744,0.0664762639750025
"26",91,13,10234.0543992258,0.126666106596013,2962.55544823349,2196,0.435080501729629,620475.269039228,1448907.11294016,0.347616092246938,0.229495490875659,0.0911214403098416
"27",92,1,138235.462388913,0.449002960007301,2231.297412505,998,0.169252382177882,1099543.24573238,6470183.5185314,0.326741182414972,0.196257210467416,0.0903307148488678
"28",92,2,61517.4781585873,0.341548196553391,2372.94541410678,1238,0.215948628036147,756532.400700834,3601390.49762943,0.168509369167859,0.143368991405982,0.0539824042668823
"29",92,3,39998.1214186432,0.269452084594998,2254.24448661067,4446,0.245460407441968,857396.300760753,3721329.24205146,0.326633168922418,0.182895998112524,0.0855225610145603
"30",92,4,38701.0524607681,0.264902566698645,2511.68585731014,4885,0.259406631164928,834047.668071389,3263309.00238709,0.258375536284957,0.1853093313181,0.0732155737164278
"31",92,5,30216.0402048502,0.210780332312497,2698.44235822007,2016,0.281640109907662,702180.648869226,2738485.66482253,0.161575122912097,0.150700362214339,0.0710281837276065
"32",92,6,29525.3646149638,0.206042873751307,2997.04993807428,4588,0.309771676596163,693315.512243074,2433862.04024949,0.109422455892599,0.125789723780176,0.0512277492255276
"33",92,7,26214.8148347038,0.206341670468428,2747.54582539955,680,0.372267154400444,693315.512243074,1924197.37969039,0.220174194424786,0.209757225609099,0.074165386946808
"34",92,8,50092.7247298967,0.342581748926244,1977.99839228842,998,0.267613214461764,693315.512243074,2662632.81694592,0.228545845745259,0.194296293663057,0.0641564167636444
"35",92,9,16094.3324552818,0.138849653330842,2822.5076346467,1299,0.329165161418005,974033.88752247,3413432.11989173,0.346170792150746,0.190580514018975,0.0935765503516905
"36",92,10,13585.6810143609,0.117303615044088,2971.33519587726,2986,0.362033871412436,837829.985201185,2565004.19574659,0.259057289961136,0.184546897775198,0.0764619452244246
"37",92,11,12142.6689309577,0.110092889070688,3054.88009845411,5106,0.377055113358388,693315.512243074,2148867.1132583,0.183278285357665,0.176303545422937,0.0720328046850373
"38",92,12,11355.8730028203,0.103583137525943,3208.77911489228,6742,0.388344553037455,698433.123249152,1998232.22570937,0.210008273702242,0.143042315727443,0.0819607066818567
"39",92,13,12608.7476541297,0.108173958002378,3115.36349686431,2249,0.424494746659656,693315.512243074,1686047.98702305,0.262698553960234,0.19988285646921,0.0773945049247878
"40",93,1,154695.280058346,0.42981570414168,2243.89926344306,1044,0.162657480817457,1167417.14805671,7116399.09604825,0.272203198349724,0.186999368602556,0.0729669073160113
"41",93,2,70920.5408519514,0.328207270730442,2324.3557856697,1250,0.197249875569769,796479.938181208,3996928.72612379,0.112218944196831,0.162845082660313,0.0611460724545535
"42",93,3,46346.64036219,0.278386571741034,2184.1118155798,4441,0.23173155202192,866730.464164483,3756846.54603013,0.219460328649243,0.176060680397441,0.0688819411454701
"43",93,4,45070.7614600078,0.280965710603677,2496.9970692565,4859,0.246011967719874,881869.493602416,3503915.97295856,0.234146539218687,0.186113445523465,0.089201886851826
"44",93,5,34667.922897826,0.242115772725574,2555.04213511614,2018,0.260756390660277,689737.956363176,2759697.89132872,0.168470633435335,0.203441640816769,0.0876866100960408
"45",93,6,33286.8920964447,0.221424432043752,2889.85568187719,4566,0.291917340172482,873226.091489138,3092520.11531885,0.200228638627612,0.158282857427837,0.062381232001924
"46",93,7,30581.7269489926,0.218517917573326,2693.99802828864,669,0.354520904965182,689737.956363176,1928442.15320054,0.214705250571567,0.179242844131279,0.0639978534101263
"47",93,8,58085.5460063761,0.347137557472957,2053.96784792558,1035,0.251015259972142,740109.518816682,2925672.65102424,0.137830528850579,0.121378568970988,0.0613004431711654
"48",93,9,19797.1235769944,0.159281535928222,2728.04723164776,1285,0.306269759657197,689737.956363176,2451512.91330361,0.110475212928414,0.145485965454573,0.0765944545201009
"49",93,10,15903.0932576049,0.127995323557962,2918.16277908262,2986,0.333828075152036,844807.214940548,2623864.80285032,0.20375601377814,0.152936569447147,0.0613491084696833
"50",93,11,12248.496363755,0.112055980531311,2931.48424691886,5057,0.346808230540428,716428.757202601,2186850.54689631,0.193208037700641,0.178287117307768,0.0825297605671779
"51",93,12,12716.6030212177,0.117011258184246,2997.82704524709,6729,0.372675977202678,689737.956363176,1959204.58580783,0.203158320706622,0.208949811795547,0.0996739967206106
"52",93,13,13444.3002921002,0.110774593892893,3000.88106999818,2236,0.423698700774226,689737.956363176,1689768.12275064,0.269425815766767,0.223781548001308,0.0766052153893248
"53",94,1,172173.49112682,0.419328845231928,2430.04634177846,1042,0.15863693917402,1166144.8647942,7316055.04805639,0.228383507056494,0.167306413345766,0.0626641834272902
"54",94,2,79181.6734469273,0.331268853625252,2311.46423316191,1290,0.186043239288617,828627.266871011,4468817.34922306,0.114998224926272,0.0943431417872572,0.0829946611010269
"55",94,3,50790.1185337272,0.27477261073717,2309.96579021381,4470,0.229633578299316,904010.263345685,3950651.92154055,0.200740080454437,0.154792595121703,0.0600450900539845
"56",94,4,50177.3935802797,0.284647052378247,2386.86428142899,4810,0.234601362228234,916122.880364562,3780210.84033138,0.204281872011701,0.17230930937085,0.0590913493470981
"57",94,5,36154.6843555784,0.238388242389206,2361.82841687979,2021,0.242337878779991,817367.868207166,3371424.37194413,0.260149520738066,0.205595195034823,0.0854137803993054
"58",94,6,36086.7409805983,0.219897130751545,2887.56863914465,4513,0.281336226428142,881194.672851046,3205563.99862966,0.156911679988712,0.15892427846268,0.0570773290656929
"59",94,7,34676.4662625082,0.212360739569323,2696.28003360661,674,0.337258185412204,724153.877259498,2069876.58535611,0.176085174834032,0.212820540455396,0.0743844149841437
"60",94,8,61862.0166054291,0.320792536017134,1891.57817034582,1066,0.225833625564749,770598.649274393,3165380.9971461,0.147264571921481,0.147657103719437,0.0509819146384671
"61",94,9,22427.0894830033,0.161119364982679,2818.71088161082,1266,0.295989055351503,724153.877259498,2704460.6845129,0.0711228391402821,0.181734557481764,0.0782093916973065
"62",94,10,19173.3620404943,0.143610908887171,2828.29145906916,2963,0.302460005583522,724153.877259498,2366964.26211856,0.10108304470569,0.124205131217519,0.0625528055588939
"63",94,11,13537.1061746772,0.111492836160847,2840.33733191106,5062,0.326592306724114,724153.877259498,2234656.72749235,0.138354252970378,0.141536151555018,0.0605841286268987
"64",94,12,13941.5348931821,0.124765237226815,2873.61271217294,6723,0.356926843794688,724153.877259498,2061634.34561072,0.19731985325701,0.205642731995372,0.088336792317348
"65",94,13,14390.2818176616,0.106678024586373,3054.12384669056,2237,0.411780456256679,724153.877259498,1804190.86208428,0.25321670306468,0.200766599730329,0.0633115379933601
"66",95,1,188157.26820099,0.41616738585766,2324.59086837656,1036,0.15627260069788,1378433.06418753,8851248.66789515,0.293331312423383,0.168126398494945,0.0741189092504467
"67",95,2,83922.4219148478,0.344934168492895,2089.46287080575,1287,0.17475799625893,1008464.30418852,5833701.21960644,0.250992952987629,0.154528701578144,0.078806796482416
"68",95,3,55633.3803882601,0.274971978931009,2324.37012748258,4478,0.222598583703365,1018214.12041815,4598938.8319391,0.24042465336472,0.149548442045518,0.0642399132508579
"69",95,4,54242.4456594103,0.271809618516419,2536.23856671759,4789,0.243714876342043,1038199.21547444,4417068.79560366,0.238887689219727,0.191448295815266,0.0793673698666255
"70",95,5,38146.3474119888,0.228914281895587,2444.9443767663,1979,0.243929876777847,867028.970281333,3678211.32315542,0.266065288994017,0.183800956115614,0.106160113006163
"71",95,6,38023.9952896972,0.230140348726317,2698.13951350684,4500,0.268422784555105,949352.209729827,3543091.06634469,0.221226460664003,0.137546193500936,0.0564203835981551
"72",95,7,36870.2525567452,0.222961220403887,2666.60154138254,679,0.335733492109365,831852.077417224,2419093.0301492,0.273595846017643,0.231776063164737,0.0873298512743376
"73",95,8,63734.8486538677,0.300174638473171,2101.42832852206,1050,0.218313501817837,831852.077417224,3673132.71364998,0.175601169864518,0.0971669337098179,0.164136498470301
"74",95,9,27853.0397071804,0.181519761972321,2717.34151957392,1271,0.27286702158942,1153581.9579845,4553219.4528262,0.285801905708185,0.190166268661725,0.0809774365254911
"75",95,10,22331.1116461006,0.167713660747692,2579.38057736359,2970,0.307035722902379,899976.486630735,3089330.78577425,0.221119734132365,0.122763055538252,0.060807368672083
"76",95,11,14760.0415329031,0.115120742996347,2748.58238080477,5058,0.320610652271787,898597.223399463,2856670.89598197,0.241399145106891,0.186007115882138,0.110972269985697
"77",95,12,15408.7522126387,0.125934138602965,2833.04946242391,6668,0.350220763105711,831852.077417224,2409771.7531844,0.225796399657471,0.188746689537406,0.0764774440012719
"78",95,13,14809.0070137044,0.10831761959563,2934.42072810831,2241,0.411020184413412,831852.077417224,2091211.14848652,0.302796212434849,0.234660397014011,0.0861027792622222
"79",96,1,217367.38740377,0.430085792488033,2447.56245760726,989,0.161169885489458,1499416.42218836,9600355.09647872,0.245840416967717,0.185753389821737,0.0827616876528128
"80",96,2,91682.4792008118,0.317402121334882,2375.83387980089,1298,0.186943155178048,1019805.30383765,6090577.3099985,0.177701835282652,0.167803513684356,0.0693530632570634
"81",96,3,61380.6085923271,0.270563137248216,2352.20562842751,4448,0.221157178470439,1112232.03885457,5147855.80926825,0.238289896338967,0.14330167855843,0.0611555652470551
"82",96,4,58194.0126506874,0.255597256784332,2453.49370162367,4824,0.23033758799231,1146453.01089739,5006357.2335445,0.248834858977511,0.175084590337091,0.0773931235980051
"83",96,5,39010.6683670169,0.22134926756916,2518.48486621247,1935,0.249514513977244,926009.056365952,3943602.82246859,0.235070795980355,0.185667667035298,0.0636127262284579
"84",96,6,40446.4971467023,0.209687177494166,2712.58146247963,4480,0.258560747860816,1049222.18450984,4083443.43943159,0.251187900145591,0.160061892456275,0.0796343456757443
"85",96,7,43957.7508040561,0.220797420442026,2822.08921505135,676,0.322617001796237,926009.056365952,2770927.75508336,0.27214482078655,0.22428192246708,0.0908279986618897
"86",96,8,72984.9016973311,0.303077540570376,2467.83171358561,1040,0.257246772364521,938416.349540159,4073133.24521341,0.223174526882913,0.142691426708854,0.0494883207426973
"87",96,9,32880.8460527474,0.178638189406578,2846.62633876437,1249,0.265610633621889,1362530.92004302,5417767.33740783,0.327733684108812,0.156540838246833,0.0834858711650519
"88",96,10,25630.7545162558,0.178378720812135,2604.04650371197,2986,0.300986850662394,982017.240924736,3481431.36238458,0.204137491530019,0.156641286146408,0.0631581300871637
"89",96,11,15962.7573628209,0.117060361453102,2757.9540044176,5079,0.322154749415701,981450.89710297,3198180.20580375,0.247518075563251,0.186950465008141,0.101528750940367
"90",96,12,17055.911558795,0.127180168180784,2765.99722662171,6613,0.341028632402669,926009.056365952,2752960.07346985,0.259431625480431,0.175019217846167,0.0742426257844701
"91",96,13,16601.1399415345,0.113278882066179,2996.68215705517,2235,0.377125926600133,926009.056365952,2436172.8501453,0.335632856272267,0.264973506690333,0.10876204486569
"92",97,1,287291.633188936,0.477991693383705,2375.16535859272,1016,0.157612668773979,2059750.53029639,13359291.0918169,0.28000324048531,0.211240582458278,0.0894210505761308
"93",97,2,107483.914551582,0.335663491509053,2170.93976246213,1385,0.19951957276119,1286182.83629571,7424866.13121942,0.229818946659486,0.158745431965257,0.0708089083265639
"94",97,3,74151.0600244173,0.28441176615269,2231.49375734772,4699,0.233558845675734,1459699.6038557,6730476.02879621,0.361182381515956,0.16938748709865,0.070333226708265
"95",97,4,69491.2156734525,0.268090170570811,2403.68533940626,5349,0.249189505508557,1495830.1193665,6502556.33993222,0.345694069494269,0.196765096701181,0.0900756833225904
"96",97,5,49788.6870716753,0.236016044733457,2396.85665094202,1911,0.257323251359855,1117367.34437163,4726396.24515052,0.256971271711697,0.178621549708615,0.0712419466962046
"97",97,6,49867.0643089091,0.223958089806983,2517.73949829508,5147,0.268039512712083,1404574.6207987,5507414.66439633,0.319231826722476,0.161479138545021,0.087683474000511
"98",97,7,54496.050980309,0.248140203189928,2655.41812465557,801,0.316790574070731,1117367.34437163,3419872.21257822,0.347066811638595,0.266381705203277,0.113123924540036
"99",97,8,76558.9215128173,0.291465549849004,2287.91419569063,1032,0.278256448936892,1308074.16170359,5430366.06190915,0.313416048156968,0.187427339551755,0.0730677067709716
"100",97,9,37837.0562771401,0.183412126047159,2674.82440124596,1211,0.26393629599782,1117367.34437163,4571508.41377364,0.167909780531128,0.115551931029649,0.0624604990264412
"101",97,10,32068.6154958868,0.193571426927763,2422.27193555496,2757,0.310921424906371,1117367.34437163,3914172.57657053,0.19525181307657,0.157838240103482,0.0707292658975337
"102",97,11,19928.4047692746,0.115154279448972,2653.47227285254,4852,0.317834978610953,1117367.34437163,3734885.75800391,0.228074094292257,0.13815133469218,0.0708206298200759
"103",97,12,21275.3145887517,0.13586948621344,2660.03786541325,6469,0.357078740318632,1117367.34437163,3345670.91708839,0.292412787760771,0.173902413622337,0.0827901780442239
"104",97,13,20025.2475280793,0.122843149611055,2619.40829437034,2216,0.372654850012472,1117367.34437163,3017386.05112297,0.374968458374181,0.270029399850724,0.12345897005482
